Name;id;brewery_id;cat_id;style_id;Alcohol By Volume;International Bitterness Units;Standard Reference Method;Universal Product Code;filepath;Description;add_user;last_mod;Style;Category;Brewer;Address;City;State;Country;Coordinates;Website
Ãœber Sun Imperial Summer Wheat Ale;5447;1173;11;116;8.0;0;0;0;;It is through the movement of the universe that life presents itself in transformation. It is in this spirit that we make ÃœberSun, a tribute to the dynamic energy of summer. The alignment of wheat and barley through this hop-infused brew embodies the solar system itself... This may be a difficult task, but one our brewers revel in! They brew a galaxy of taste into every batch. ÃœberSun is the ultimate experience that will challenge you with each sip. ÃœberSun Imperial Summer Wheat Beer takes off where our Hop Sun finishes. Like itâ€™s little brother, ÃœberSun is clean and full of flavor, but donâ€™t pull an Icarusâ€“ this is one big beer! Pour a glass or drink straight from the bottle, itâ€™s meant to be consumed wisely with friends between summer solstice and autumnal equniox.;0;2010-07-22T16:00:00-04:00;Light American Wheat Ale or Lager;Other Style;Southern Tier Brewing Co;2051A Stoneman Circle;Lakewood;New York;United States;42.1008,-79.3357;http://www.southerntierbrewing.com/
India Style Brown Ale;5592;1243;3;38;6.0;0;0;0;;The Terrapin India Style Brown Ale is a head on collision between a hoppy, west coast IPA and a complex, malty brown ale. Brewed with 5 varieties of hops and 7 different malts, this hybrid style represents the best of both worlds.;0;2010-07-22T16:00:00-04:00;American-Style Brown Ale;North American Ale;Terrapin Beer Company;196 Alps Road;Athens;Georgia;United States;33.9459,-83.4105;http://www.terrapinbeer.com/
Pine Belt Pale Ale;5826;1172;3;26;6.3000001907;0;0;0;;A deep copper colored ale with a substantial malt backbone accented with British crystal malts with aggressive hop bitterness and substantial American hop flavor and aroma. The yeast profile is neutral.;0;2010-07-22T16:00:00-04:00;American-Style Pale Ale;North American Ale;Southern Star Brewing Company;1207 N. FM 3083 E.;Conroe;Texas;United States;30.3489,-95.4427;http://www.southernstarbrewery.com/
Achel Bruin 8Â°;4706;280;5;60;8.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;Belgian-Style Dubbel;Belgian and French Ale;Brouwerij der Sint-Benedictusabdij de Achelse Kluis;;Achel;;Belgium;51.2515,5.546;http://www.achelsekluis.org/
Adriaan;110;620;-1;-1;5.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;;;Haarlems Biergenootschap Jopen;R Pereboomweg 13 achter;Haarlem;;Netherlands;52.3795,4.6377;
Export Ale;196;1136;3;26;5.0999999046;0;0;0;;;0;2010-07-22T16:00:00-04:00;American-Style Pale Ale;North American Ale;Shipyard Brewing - Portland;86 Newbury Street;Portland;Maine;United States;43.6619,-70.2489;http://www.shipyard.com/
Bigfoot 2000;463;1142;-1;-1;9.6000003815;0;0;0;;;0;2010-07-22T16:00:00-04:00;;;Sierra Nevada Brewing Co.;1075 East 20th Street;Chico;California;United States;39.7246,-121.816;http://www.sierranevada.com/
Alt-DÃ¼rrener-WeiÃŸe;572;479;-1;-1;0.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;;;Edelweissbrauerei Farny;Drren 5;Kilegg;Baden-Wrttemberg;Germany;;
Spezial-Export;587;1083;-1;-1;0.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;;;Ruppaner-Brauerei;Hoheneggstrae 41-51;Konstanz;Baden-Wrttemberg;Germany;47.6855,9.208;
Warminster Special Bitter;685;497;-1;-1;3.7999999523;0;0;0;;;0;2010-07-22T16:00:00-04:00;;;Elysian Brewing - TangleTown;2106 North 55th Street;Seattle;Washington;United States;47.6688,-122.334;
Heavenly Helles;850;590;-1;-1;5.3000001907;0;0;0;;;0;2010-07-22T16:00:00-04:00;;;Gottberg Brew Pub;2804 13th Street;Columbus;Nebraska;United States;41.4295,-97.3623;
Oatmeal Cream Stout;884;1143;3;42;0.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;American-Style Stout;North American Ale;Siletz Roadhouse & Brewery;243 North Gaither Street;Siletz;Oregon;United States;44.722,-123.918;
Stout;935;1205;3;42;0.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;American-Style Stout;North American Ale;Stone Cellar Brewpub & Restaurant;1004 South Olde Oneida;Appleton;Wisconsin;United States;44.2536,-88.4037;
Gueuze 1882;960;283;5;70;5.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;Belgian-Style Fruit Lambic;Belgian and French Ale;Brouwerij Girardin;Lindenbergstraat 10;Sint-Ulriks-Kapelle;Vlaams Brabant;Belgium;;
Pub Ale Draught;1536;148;-1;-1;0.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;;;Boddington's Brewery;;Manchester;Manchester;United Kingdom;53.4807,-2.2344;
Saison;1542;1268;-1;-1;0.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;;;Titletown Brewing;200 Dousman Street;Green Bay;Wisconsin;United States;44.52,-88.0173;
Amber Ale;1777;1285;3;33;0.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;American-Style Amber/Red Ale;North American Ale;Triumph Brewing of Princeton;138 Nassau Street;Princeton;New Jersey;United States;40.3507,-74.6583;
Golden Prairie Blond;1910;607;-1;-1;0.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;;;Great Waters Brewing Company;426 St.Peter Street;Saint Paul;Minnesota;United States;44.9467,-93.097;
ESB Ale;3958;541;1;4;5.5;0;0;0;;This ESB is a classic British extra special bitter made fresh with an American slant. A beautiful copper color with an amber head, this classic style features five different malts, including imported English malts, and three hop varieties. The rich malty start features caramel notes that develop into a smooth, pleasurable hop finish.;0;2010-07-22T16:00:00-04:00;Special Bitter or Best Bitter;British Ale;Flying Fish Brewing Company;1940 Olney Avenue;Cherry Hill;New Jersey;United States;39.9121,-74.9701;http://www.flyingfish.com/
Samuel Adams Cherry Wheat;4052;157;1;10;0.0;0;0;0;;Ale brewed with Cherries, crisp and fruity with a hint of honey.  Samuel Adams Cherry Wheat® follows the centuries old American tradition of brewing beer with native ingredients, in this case Michigan cherries as well as a touch of honey. The sweet fruitiness of the cherries is balanced against the crisp, cereal note from the malted wheat and the subtle citrus flavor from the Noble hops. The end result is a sweet, refreshing beer that is light on the palate but long on complexity.;0;2010-07-22T16:00:00-04:00;English-Style Pale Mild Ale;British Ale;Boston Beer Company;30 Germania Street;Boston;Massachusetts;United States;42.3144,-71.1034;http://www.samueladams.com/
Broken Spoke;4689;1244;3;26;5.0;0;0;0;;An American pale ale made entirely with amarillo hops.;0;2010-07-22T16:00:00-04:00;American-Style Pale Ale;North American Ale;The Alchemist;23 South Main Street;Waterbury;Vermont;United States;44.3372,-72.756;http://www.alchemistbeer.com/
Coopers Premium Light;4934;397;8;96;2.9000000954000003;0;0;0;;Coopers Premium Light is brewed using malted barley and no sugar.  Coopers has used traditional lager brewing techniques to produce a full-flavoured light beer.  The light has a fresh aroma with clean floral hop notes, excellent head and colour presentation.;0;2010-07-22T16:00:00-04:00;American-Style Light Lager;North American Lager;Coopers Brewery;461 South Road;Regency Park;South Australia;Australia;-34.8727,138.573;http://www.coopers.com.au/
Pompier;4986;976;-1;-1;12.100000381;0;0;0;;"Our fourth in the Firehouse Ales Series, Pompier means ""fireman"" in French and represents our continued commitment to celebrate and honor the men and women who respond to the call day after day.  Pompier is rich and  smooth with complexities that come from a huge grain bill comprised of premium imported specialty malts, French Strisselspalt aroma hops and a 3 month aging process in oak hogsheads where it is combined with toasted French oak wood chips and champagne yeast.  Pompier is intended to be a vintage quality English-Style Barleywine with a French twist.  Appreciate its fine character and 12.1%ABV when we release this single 10 barrel batch sometime in December or you may choose to cellar it for many years to come.  


You will find Pompier on retail shelves packaged in the same 1 Liter Swing-Top bottle that has become a signature for our specialty beers.";0;2010-07-22T16:00:00-04:00;;;Pennichuck Brewing Company;127 Elm St., Unit C;Milford;New Hampshire;United States;42.8368,-71.6626;http://www.pennichuckbrewing.com/
Obamagang Inauguration Ale;5185;249;3;42;0.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;American-Style Stout;North American Ale;Brewery Ommegang;656 County Highway 33;Cooperstown;New York;United States;42.6818,-74.9255;
Wynona's Big Brown Ale;5335;1330;3;38;7.3000001907;0;0;0;;"This is named after a song that sparked the idea to make this ale. Brown ales seem to be there, but not really there, do you know what I mean? Well that won't be the mistake with Wynona! We Voodooed out this style and added more that's what we say. Mildly hoppy and smooth with hints of chocolate and tons of brown malt to let you know it's there. Currently 7.3% by vol. 


Bottle conditioned and Refermented. 


Get down with the brown, You'll be Happy You Did!!";0;2010-07-22T16:00:00-04:00;American-Style Brown Ale;North American Ale;Voodoo Brewing Co.,LLC;215 1/5 Arch St.;Meadville;Pennsylvania;United States;41.6372,-80.1549;http://www.voodoobrewery.com/
Capital Oktoberfest;5349;338;7;84;0.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;German-Style Oktoberfest;German Lager;Capital Brewery;7734 Terrace Avenue;Middleton;Wisconsin;United States;43.0949,-89.5163;http://www.capital-brewery.com/
Round Barn Cocoa Stout;5387;1253;1;20;0.0;0;0;0;;Our Cocoa Stout boasts a beautiful black body and tan head with notes of roasted barley, coffee, and bittersweet chocolate. Enjoy with dessert â€¹ especially good in a float with vanilla ice cream. Round Barn beer is bottle conditioned, decant into a pint glass before drinking for the best taste experience. Contains lactose (milk sugar).;0;2010-07-22T16:00:00-04:00;Sweet Stout;British Ale;The Round Barn Winery & Brewery;10983 Hills Road;Baroda;Michigan;United States;41.9211,-86.4583;http://www.roundbarnwinery.com/brewery.php
Standing Stone Nitro Stout;5463;1193;3;42;0.0;0;0;0;;With its dark-roasted coffee aroma, espresso and chocolate flavor, this stout has flaked oats which create a velvety body and a dry finish.;0;2010-07-22T16:00:00-04:00;American-Style Stout;North American Ale;Standing Stone Brewing Company;101 Oak Street;Ashland;Oregon;United States;42.1976,-122.715;http://www.standingstonebrewing.com/
Marshal Zhukov's Imperial Stout;5726;379;3;43;11.0;0;0;0;;"This Russian Imperial Stout is dedicated to Gregory Zhukov. Arguably one of World War II's finest generals and a man bold enough to appreciate the rich, complex flavors of a beer brewed to fortify a body through the Russian winter. Like military geniuses, Russian Imperial Stouts reach their peak with a little age on them, so we release Marshal Zhukov's Russian Imperial Stout in sweltering August so that it will be at peak flavor come January or February.


Opaque black in color, the aroma has notes of espresso, chocolate, dark sweet toffee with hints of black strap molasses. The flavor starts with an unsweetened chocolate character and supporting notes of herbal dryness from English hop varietals. It then moves into dark toffee sweetness and closes with a slap of roasty espresso. Zhukov's Imperial Stout pairs well with Mushroom Solyanka, dark chocolate, cherries and ground wars in Russia.  Enjoy, comrade.";0;2010-07-22T16:00:00-04:00;American-Style Imperial Stout;North American Ale;Cigar City Brewing;3924 West Spruce Street Suite A;Tampa;Florida;United States;27.9587,-82.5093;http://cigarcitybeer.com/
Scratch Beer 31 - 2010 Citra Of Brotherly Love IPA;5833;1286;3;31;7.4000000954;0;0;0;;"Scratch 31, the brothers and the brewers decided to revisit one of our favorite sweet spots â€“ IPA â€“ and have some fun with hop flavors. Dubbed â€˜Citra of Brotherly Loveâ€™ in honor of Philly Beer week, Scratch #31 has generous amounts of Apollo, Cascade and Citra hops. This is our first use of Citra hops, which is known for an intense grapefruit aroma and flavor.


While showcasing the intense Citra flavor we added additional bitterness with Apollo and Chinook hops as well. Scratch #31 went through a bed of Chinook hops in the hopback and was dry-hopped with Cascade and Citra hops.";0;2010-07-22T16:00:00-04:00;American-Style India Pale Ale;North American Ale;Troegs Brewing;800 Paxton Street;Harrisburg;Pennsylvania;United States;40.2559,-76.8715;http://www.troegs.com/
Vimalt Wheat;3011;407;8;95;0.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;American-Style Lager;North American Lager;Court Avenue Brewing;309 Court Avenue;Des Moines;Iowa;United States;41.5855,-93.621;
5,000 Year Ale;3342;1030;-1;-1;0.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;;;Pyramid Alehouse, Brewery and Restaurant - Seattle;1201 First Avenue South;Seattle;Washington;United States;;
Eisbock;3379;912;7;90;0.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;Traditional German-Style Bock;German Lager;Niagara Falls Brewing;6863 Lundy's Lane;Niagara Falls;Ontario;Canada;43.0893,-79.11;
Amarossa;3390;1095;-1;-1;0.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;;;Salado Creek Brewing Company;;San Antonio;Texas;United States;29.4241,-98.4936;
KÃ¶lsch;3539;516;-1;-1;0.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;;;Faultline Brewing #2;;Walnut Creek;California;United States;37.8855,-122.033;
Nut Brown Ale;3906;871;3;38;0.0;0;0;0;;Perhaps the most ancient style of beer, our brown ale is robust with a hint of nut flavor. With definable malt characteristics, this dark ale is sure to please any beer enthusiastâ€™s palate.;0;2010-07-22T16:00:00-04:00;American-Style Brown Ale;North American Ale;Minocqua Brewing Company;238 Lake Shore Drive;Minocqua;Wisconsin;United States;45.8722,-89.7097;http://www.minocquabrewingcompany.com
Happy Heron Pale Ale;2629;358;3;26;0.0;0;0;0;;This crisp, zesty American pale is characterized by the sharp bitterness missing in many domestic pale ales. The clean finish and slight fruity notes help make our flagship brew a delightful treat.;0;2010-07-22T16:00:00-04:00;American-Style Pale Ale;North American Ale;Central Waters Brewing Company;351 Allen Street;Amherst;Wisconsin;United States;44.4419,-89.2797;http://www.centralwaters.com/
Sixtus;1987;126;7;90;0.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;Traditional German-Style Bock;German Lager;Birra Forst;Via Val Venosta, 8;Lagundo / Algund;;Italy;;
Kilt Kicker Wee Heavy;2057;536;1;15;7.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;Scotch Ale;British Ale;Flossmoor Station Brewery;1035 Sterling Avenue;Flossmoor;Illinois;United States;41.5433,-87.6789;
Market Street Wheat;2108;1229;8;95;0.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;American-Style Lager;North American Lager;T-Bonz Gill, Grill and Brewery;1028 Johnny Dodds Boulevard;Mount Pleasant;South Carolina;United States;32.8091,-79.875;
Best Bull;2318;483;-1;-1;5.9000000954;0;0;0;;;0;2010-07-22T16:00:00-04:00;;;Egan Brewing;;De Pere;Wisconsin;United States;44.4489,-88.0604;
Old Boardhead 1999;2339;562;-1;-1;0.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;;;Full Sail Brewing #1;506 Columbia Street;Hood River;Oregon;United States;45.7103,-121.515;
Caramel Apple Ale;1032;942;1;10;0.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;English-Style Pale Mild Ale;British Ale;Olde Main Brewing;316 Main Street;Ames;Iowa;United States;42.0248,-93.6147;
Wheat;1236;759;4;50;0.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;South German-Style Hefeweizen;German Ale;La Jolla Brew House;7536 Fay Avenue;La Jolla;California;United States;32.8409,-117.274;
Winter Fest Beer;1715;913;7;90;0.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;Traditional German-Style Bock;German Lager;Nicolet Brewing;;Florence;Wisconsin;United States;45.9222,-88.2518;
Nut Brown Ale;1719;1051;3;38;0.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;American-Style Brown Ale;North American Ale;Redhook Ale Brewery;;Seattle;Washington;United States;47.6062,-122.332;http://www.redhook.com/
Steam Engine Common;1735;1268;-1;-1;0.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;;;Titletown Brewing;200 Dousman Street;Green Bay;Wisconsin;United States;44.52,-88.0173;
Oktoberfest;1894;355;7;84;0.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;German-Style Oktoberfest;German Lager;Cedar Brewing;;Cedar Rapids;Iowa;United States;41.9625,-91.6918;
Hefe-WeiÃŸbier;1899;972;4;50;0.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;South German-Style Hefeweizen;German Ale;Paulaner;;Munich;;Germany;48.1391,11.5802;http://www.paulaner.com/
Brown Fox Ale;1994;1298;3;26;0.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;American-Style Pale Ale;North American Ale;Two Brothers Brewing;30 Butterfield Road;Warrenville;Illinois;United States;41.8206,-88.2068;http://www.twobrosbrew.com/
Cow Palace Scotch Ale 2001;2223;483;1;15;11.100000381;0;0;0;;;0;2010-07-22T16:00:00-04:00;Scotch Ale;British Ale;Egan Brewing;;De Pere;Wisconsin;United States;44.4489,-88.0604;
Copper Wheat;2278;401;3;26;0.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;American-Style Pale Ale;North American Ale;Copper Eagle Brewing;;Grand Island;Nebraska;United States;40.9222,-98.3581;
High Desert Imperial Stout;2478;1226;3;42;0.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;American-Style Stout;North American Ale;Sweetwater Tavern - Centreville;14250 Sweetwater Lane;Centreville;Virginia;United States;38.8289,-77.4393;
Tower ESB;2510;317;-1;-1;0.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;;;Bull & Bush Pub & Brewery;4700 Cherry Creek Drive South;Denver;Colorado;United States;39.705,-104.936;
Premium Lager;2626;253;8;95;0.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;American-Style Lager;North American Lager;Brick Brewing;1 Old Brewery Lane;Formosa;Ontario;Canada;;
Mud Puppy Porter;2630;358;2;25;0.0;0;0;0;;A robust, yet surprisingly refreshing porter, Mud Puppy is a favorite of dark beer lovers. Characterized by a thick, rocky head and luscious chocolate-like nose, the malty profile is balanced by liberal hopping for its style.;0;2010-07-22T16:00:00-04:00;Porter;Irish Ale;Central Waters Brewing Company;351 Allen Street;Amherst;Wisconsin;United States;44.4419,-89.2797;http://www.centralwaters.com/
StÃ¼venbrÃ¤u Maibock;2641;483;7;90;0.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;Traditional German-Style Bock;German Lager;Egan Brewing;;De Pere;Wisconsin;United States;44.4489,-88.0604;
Hopfenstange Pils;2691;437;-1;-1;0.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;;;Delafield Brewhaus;3832 Hillside Drive;Delafield;Wisconsin;United States;43.0481,-88.3553;
Bornem Triple;2745;304;5;72;9.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;Other Belgian-Style Ales;Belgian and French Ale;Brouwerij Van Steenberge;Lindenlaan 25;Ertvelde;Oost-Vlaanderen;Belgium;51.1766,3.7462;
#40 Golden Lager;2829;871;-1;-1;0.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;;;Minocqua Brewing Company;238 Lake Shore Drive;Minocqua;Wisconsin;United States;45.8722,-89.7097;http://www.minocquabrewingcompany.com
Big Horn Wyoming Blonde;2977;326;-1;-1;0.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;;;C.B. & Potts of Cheyenne;1650 Dell Range Boulevard;Cheyenne;Wyoming;United States;41.1607,-104.802;
Jenlain Blonde;33;190;-1;-1;7.5;0;0;0;;;0;2010-07-22T16:00:00-04:00;;;Brasserie Duyck;113, rte Nationale;Jenlain;;France;50.3089,3.6285;
Pillar Point Pale Ale;263;624;3;26;4.5999999046;0;0;0;;;0;2010-07-22T16:00:00-04:00;American-Style Pale Ale;North American Ale;Half Moon Bay Brewing;390 Capistrano Road;Princeton by the Sea;California;United States;37.4903,-122.435;
Bam BiÃ¨re;395;723;5;74;4.5;0;0;0;;An artisan farmhouse ale that is golden, naturally cloudy, bottle conditioned and dry hopped for a perfectly refreshing balance of spicy malts, hops and yeast.;0;2010-07-22T16:00:00-04:00;French & Belgian-Style Saison;Belgian and French Ale;Jolly Pumpkin Artisan Ales;3115 Broad Street;Dexter;Michigan;United States;42.3375,-83.8895;http://www.jollypumpkin.com
Hitachino Nest Celebration Ale 2006;426;742;-1;-1;9.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;;;Kiuchi Shuzou Goushi Kaisya;1257, Kounsosu;Ibaraki;Kanto;Japan;;
Golden Ale;727;445;-1;-1;5.1999998093;0;0;0;;;0;2010-07-22T16:00:00-04:00;;;Diamond Knot Brewery & Alehouse;621 Front Street;Mukilteo;Washington;United States;47.9485,-122.305;http://www.diamondknot.com/
Dutch Girl Lager;746;1151;-1;-1;4.3000001907;0;0;0;;;0;2010-07-22T16:00:00-04:00;;;Skagit River Brewing;404 South Third Street;Mount Vernon;Washington;United States;48.4192,-122.335;
Alembic Pale;785;494;3;26;5.5;0;0;0;;;0;2010-07-22T16:00:00-04:00;American-Style Pale Ale;North American Ale;Elliott Bay Brewery and Pub;4720 California Avenue SW;Seattle;Washington;United States;47.5604,-122.387;
Vertical Epic 05.05.05;922;1204;-1;-1;8.5;0;0;0;;;0;2010-07-22T16:00:00-04:00;;;Stone Brewing Co.;1999 Citracado Parkway;Escondido;California;United States;33.1157,-117.12;http://www.stonebrew.com/
Pale Ale;983;409;3;26;0.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;American-Style Pale Ale;North American Ale;Crabby Larry's Brewpub Steak & Crab House;237 West Butler Avenue;Chalfont;Pennsylvania;United States;40.2795,-75.2143;http://www.crabbylarrys.com/
